,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,112,7.307386814932486,0.6517857142857143,0.3967391304347826,0.4932432432432432,0.9538653366583542,0.9832904884318766,0.9683544303797469,0.8028255254720342,0.6900148094333296,0.7421577365162978
1,1066,1618,4,639,56,27,8.763693270735525,0.8518518518518519,0.4107142857142857,0.5542168674698795,0.946078431372549,0.9931389365351629,0.9690376569037655,0.8989651416122004,0.7019266111247243,0.788320077597156
2,7673,1716,3_ESTA,598,43,61,7.190635451505016,0.5081967213114754,0.7209302325581395,0.5961538461538461,0.9776536312849162,0.9459459459459459,0.9615384615384616,0.7429251762981959,0.8334380892520428,0.7855830606089089
3,11012,1736,3,3709,301,161,8.115394985171205,0.6894409937888198,0.3687707641196013,0.4805194805194805,0.9464487034949267,0.9853286384976526,0.965497412305923,0.8179448486418732,0.677049701308627,0.7408579723293929
4,9001,1720,2,3346,164,181,4.901374775851764,0.5469613259668509,0.6036585365853658,0.5739130434782609,0.9794628751974723,0.9742300439974858,0.9768394517094691,0.7632121005821616,0.7889442902914259,0.7758648968313417
5,1090,1626,2,3484,192,172,5.510907003444316,0.5116279069767442,0.4583333333333333,0.4835164835164835,0.9685990338164251,0.9744835965978129,0.9715324046032706,0.7401134703965846,0.7164084649655731,0.7280680672966625
6,1430,1686,4,2042,179,110,8.765915768854065,0.7545454545454545,0.46368715083798884,0.57439446366782,0.9503105590062112,0.9855072463768116,0.9675889328063241,0.8524280067758329,0.7245971986074002,0.7833317357463024
7,2665,1746,3_ESTA,231,21,7,9.090909090909092,1.0,0.3333333333333333,0.5,0.9375,1.0,0.967741935483871,0.96875,0.6666666666666666,0.7898089171974522
8,1439,1686,3_ESTA,380,49,21,12.894736842105264,0.8095238095238095,0.3469387755102041,0.4857142857142857,0.9108635097493036,0.9879154078549849,0.9478260869565217,0.8601936596365566,0.6674270916825945,0.751648014782813
9,1595,1697,3,2649,178,115,6.719516798791997,0.6521739130434783,0.42134831460674155,0.5119453924914675,0.9593528018942383,0.9838122217725617,0.9714285714285713,0.8057633574688583,0.7025802681896516,0.7506425275483387
10,2693,1747,3,419,26,17,6.205250596658711,0.7058823529411765,0.46153846153846156,0.558139534883721,0.9651741293532339,0.9872773536895675,0.9761006289308177,0.8355282411472051,0.7244079076140145,0.7760103070917586
11,3476,1777,2,2161,138,142,6.385932438685793,0.5845070422535211,0.6014492753623188,0.592857142857143,0.9727587914809311,0.9708353929807217,0.9717961405244929,0.7786329168672261,0.7861423341715204,0.7823696065264819
12,8596,1707,4,1482,159,113,10.728744939271255,0.7876106194690266,0.559748427672956,0.6544117647058824,0.9488677867056245,0.981859410430839,0.9650817236255572,0.8682392030873256,0.7708039190518975,0.8166254705254306
13,1348,1679,3_ESTA,272,32,22,11.76470588235294,0.6818181818181818,0.46875,0.5555555555555556,0.932,0.9708333333333333,0.9510204081632654,0.8069090909090909,0.7197916666666666,0.7608648080010123
14,4071,1713,4,475,58,17,12.210526315789473,0.9411764705882353,0.27586206896551724,0.4266666666666667,0.9082969432314411,0.9976019184652278,0.950857142857143,0.9247367069098382,0.6367319937153726,0.7541738708137162
