,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,123,7.307386814932486,0.6341463414634146,0.42391304347826086,0.50814332247557,0.955741127348643,0.980719794344473,0.9680693592725735,0.7949437344060288,0.7023164189113669,0.7457649033764403
1,1066,1618,4,639,56,33,8.763693270735525,0.9090909090909091,0.5357142857142857,0.6741573033707865,0.9570957095709571,0.9948542024013722,0.975609756097561,0.933093309330933,0.7652842440578289,0.8408985463119653
2,7673,1716,3_ESTA,598,43,51,7.190635451505016,0.5294117647058824,0.627906976744186,0.5744680851063829,0.9707495429616088,0.9567567567567568,0.9637023593466426,0.7500806538337456,0.7923318667504714,0.7706275678317224
3,11012,1736,3,3709,301,175,8.115394985171205,0.6514285714285715,0.3787375415282392,0.4789915966386554,0.9470854555744199,0.9821009389671361,0.9642754249495823,0.7992570135014957,0.6804192402476876,0.7350659963777547
4,9001,1720,2,3346,164,168,4.901374775851764,0.5833333333333334,0.5975609756097561,0.5903614457831325,0.9792322215229704,0.9780012570710245,0.9786163522012578,0.7812827774281519,0.7877811163403903,0.7845184903230736
5,1090,1626,2,3484,192,186,5.510907003444316,0.5,0.484375,0.49206349206349204,0.969981807155852,0.9717496962332929,0.9708649468892261,0.7349909035779261,0.7280623481166464,0.7315102201283815
6,1430,1686,4,2042,179,104,8.765915768854065,0.7211538461538461,0.41899441340782123,0.5300353356890459,0.9463364293085655,0.9844337090713903,0.9650092081031308,0.8337451377312058,0.7017140612396058,0.7620530549144998
7,2665,1746,3_ESTA,231,21,7,9.090909090909092,1.0,0.3333333333333333,0.5,0.9375,1.0,0.967741935483871,0.96875,0.6666666666666666,0.7898089171974522
8,1439,1686,3_ESTA,380,49,24,12.894736842105264,0.9166666666666666,0.4489795918367347,0.6027397260273972,0.9241573033707865,0.9939577039274925,0.9577874818049491,0.9204119850187266,0.7214686478821136,0.8088875366691257
9,1595,1697,3,2649,178,146,6.719516798791997,0.636986301369863,0.5224719101123596,0.5740740740740741,0.9660407510986816,0.9785511938486443,0.9722557297949337,0.8015135262342723,0.7505115519805019,0.775174536740578
10,2693,1747,3,419,26,17,6.205250596658711,0.6470588235294118,0.4230769230769231,0.5116279069767442,0.9626865671641791,0.9847328244274809,0.9735849056603774,0.8048726953467955,0.703904873752202,0.7510103869624888
11,3476,1777,2,2161,138,115,6.385932438685793,0.6173913043478261,0.5144927536231884,0.5612648221343872,0.9672531769305963,0.9782501235788433,0.9727205701646597,0.7923222406392112,0.7463714386010158,0.7686607133831499
12,8596,1707,4,1482,159,120,10.728744939271255,0.775,0.5849056603773585,0.6666666666666666,0.9515418502202643,0.9795918367346939,0.9653631284916201,0.8632709251101321,0.7822487485560261,0.8207651499269849
13,1348,1679,3_ESTA,272,32,17,11.76470588235294,0.8235294117647058,0.4375,0.5714285714285714,0.9294117647058824,0.9875,0.9575757575757576,0.8764705882352941,0.7125,0.7860249884312819
14,4071,1713,4,475,58,19,12.210526315789473,0.8421052631578947,0.27586206896551724,0.41558441558441556,0.9078947368421053,0.9928057553956835,0.9484536082474228,0.875,0.6343339121806004,0.7354796293633021
