,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,111,7.307386814932486,0.5945945945945946,0.358695652173913,0.4474576271186441,0.950976319069381,0.980719794344473,0.9656190677072347,0.7727854568319878,0.669707723259193,0.7175637237051643
1,1066,1618,4,639,56,33,8.763693270735525,0.8181818181818182,0.48214285714285715,0.6067415730337079,0.9521452145214522,0.9897084048027445,0.9705634987384357,0.8851635163516351,0.7359256309728008,0.8036751345357193
2,7673,1716,3_ESTA,598,43,51,7.190635451505016,0.5686274509803921,0.6744186046511628,0.6170212765957446,0.9744058500914077,0.9603603603603603,0.9673321234119782,0.7715166505358999,0.8173894825057615,0.793790876140551
3,11012,1736,3,3709,301,172,8.115394985171205,0.6686046511627907,0.38205980066445183,0.4862579281183932,0.9474130619168787,0.983274647887324,0.9650107991360691,0.8080088565398347,0.6826672242758879,0.7400684432831816
4,9001,1720,2,3346,164,168,4.901374775851764,0.5119047619047619,0.524390243902439,0.5180722891566265,0.9754562617998741,0.9742300439974858,0.9748427672955974,0.743680511852318,0.7493101439499624,0.7464847140512036
5,1090,1626,2,3484,192,185,5.510907003444316,0.4810810810810811,0.4635416666666667,0.4721485411140584,0.9687784177023341,0.9708383961117861,0.9698073130025793,0.7249297493917076,0.7171900313892264,0.7210391212298342
6,1430,1686,4,2042,179,89,8.765915768854065,0.7528089887640449,0.3743016759776536,0.4999999999999999,0.942652329749104,0.988191089640365,0.9648846960167715,0.8477306592565744,0.6812463828090093,0.7554246130924789
7,2665,1746,3_ESTA,231,21,9,9.090909090909092,1.0,0.42857142857142855,0.6,0.9459459459459459,1.0,0.9722222222222222,0.972972972972973,0.7142857142857143,0.8237986270022885
8,1439,1686,3_ESTA,380,49,25,12.894736842105264,0.8,0.40816326530612246,0.5405405405405406,0.9183098591549296,0.9848942598187311,0.9504373177842564,0.8591549295774648,0.6965287625624268,0.7693416379840642
9,1595,1697,3,2649,178,112,6.719516798791997,0.7142857142857143,0.449438202247191,0.5517241379310346,0.9613716988569176,0.9870497774180493,0.9740415335463259,0.8378287065713159,0.7182439898326202,0.7734412850951728
10,2693,1747,3,419,26,14,6.205250596658711,0.8571428571428571,0.46153846153846156,0.6,0.9654320987654321,0.9949109414758269,0.9799498746867167,0.9112874779541447,0.7282247015071442,0.8095359826340641
11,3476,1777,2,2161,138,100,6.385932438685793,0.62,0.4492753623188406,0.5210084033613446,0.9631246967491509,0.9812160158180919,0.9720861900097943,0.7915623483745755,0.7152456890684662,0.7514713795455552
12,8596,1707,4,1482,159,114,10.728744939271255,0.7543859649122807,0.5408805031446541,0.63003663003663,0.9466374269005848,0.9788359788359788,0.9624674842066148,0.8505116959064327,0.7598582409903165,0.8026333656458332
13,1348,1679,3_ESTA,272,32,19,11.76470588235294,0.7894736842105263,0.46875,0.5882352941176471,0.932806324110672,0.9833333333333333,0.9574036511156186,0.8611400041605992,0.7260416666666667,0.7878411593906887
14,4071,1713,4,475,58,18,12.210526315789473,0.8333333333333334,0.25862068965517243,0.39473684210526316,0.9059080962800875,0.9928057553956835,0.9473684210526315,0.8696207148067104,0.6257132225254279,0.7277748016705542
