,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,128,7.307386814932486,0.6328125,0.44021739130434784,0.5192307692307692,0.9569037656903766,0.9798628963153385,0.9682472480948349,0.7948581328451882,0.7100401438098431,0.7500589132287169
1,1066,1618,4,639,56,31,8.763693270735525,0.8064516129032258,0.44642857142857145,0.5747126436781609,0.9490131578947368,0.9897084048027445,0.9689336691855585,0.8777323853989814,0.7180684881156579,0.7899130491957518
2,7673,1716,3_ESTA,598,43,55,7.190635451505016,0.5272727272727272,0.6744186046511628,0.5918367346938775,0.9742173112338858,0.9531531531531532,0.9635701275045538,0.7507450192533065,0.8137858789021579,0.7809953718967857
3,11012,1736,3,3709,301,183,8.115394985171205,0.6502732240437158,0.3953488372093023,0.4917355371900826,0.9483834373227453,0.9812206572769953,0.9645226420536487,0.7993283306832306,0.6882847472431488,0.7396620884988249
4,9001,1720,2,3346,164,193,4.901374775851764,0.5181347150259067,0.6097560975609756,0.5602240896358542,0.9797018712337456,0.9707730986800754,0.9752170481452249,0.7489182931298262,0.7902645981205255,0.7690361130048285
5,1090,1626,2,3484,192,178,5.510907003444316,0.5168539325842697,0.4791666666666667,0.4972972972972973,0.969751966122202,0.9738760631834751,0.9718096392846316,0.7433029493532359,0.7265213649250709,0.734816356037898
6,1430,1686,4,2042,179,99,8.765915768854065,0.7373737373737373,0.40782122905027934,0.5251798561151079,0.9454451878538342,0.9860440150295223,0.9653179190751444,0.8414094626137858,0.6969326220399008,0.7623866093744968
7,2665,1746,3_ESTA,231,21,8,9.090909090909092,1.0,0.38095238095238093,0.5517241379310345,0.9417040358744395,1.0,0.9699769053117783,0.9708520179372198,0.6904761904761905,0.8070051413881748
8,1439,1686,3_ESTA,380,49,20,12.894736842105264,0.95,0.3877551020408163,0.5507246376811594,0.9166666666666666,0.9969788519637462,0.9551374819102749,0.9333333333333333,0.6923669770022813,0.7949917637674032
9,1595,1697,3,2649,178,132,6.719516798791997,0.6515151515151515,0.48314606741573035,0.5548387096774193,0.9634485498609455,0.981384055038446,0.9723336006415397,0.8074818506880486,0.7322650612270881,0.7680362821424971
10,2693,1747,3,419,26,13,6.205250596658711,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.9605911330049262,0.9923664122137404,0.9762202753441802,0.8649109511178477,0.6884908984145626,0.766682900452278
11,3476,1777,2,2161,138,137,6.385932438685793,0.6423357664233577,0.6376811594202898,0.64,0.9752964426877471,0.9757785467128027,0.9755374351371386,0.8088161045555524,0.8067298530665463,0.8077716317601484
12,8596,1707,4,1482,159,120,10.728744939271255,0.7833333333333333,0.5911949685534591,0.6738351254480287,0.9522760646108663,0.9803476946334089,0.9661080074487896,0.8678046989720998,0.785771331593434,0.8247531909870913
13,1348,1679,3_ESTA,272,32,20,11.76470588235294,0.75,0.46875,0.5769230769230769,0.9325396825396826,0.9791666666666666,0.9552845528455284,0.8412698412698413,0.7239583333333333,0.7782179263719432
14,4071,1713,4,475,58,17,12.210526315789473,0.8823529411764706,0.25862068965517243,0.4,0.9061135371179039,0.9952038369304557,0.9485714285714285,0.8942332391471872,0.626912263292814,0.7370837082530037
