,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,113,7.307386814932486,0.6283185840707964,0.3858695652173913,0.4781144781144781,0.9530145530145531,0.9820051413881749,0.9672926777801225,0.7906665685426748,0.683937353302783,0.7334395253164723
1,1066,1618,4,639,56,28,8.763693270735525,0.8928571428571429,0.44642857142857145,0.5952380952380952,0.9492635024549918,0.9948542024013722,0.9715242881072027,0.9210603226560674,0.7206413869149718,0.8086172834950053
2,7673,1716,3_ESTA,598,43,59,7.190635451505016,0.5423728813559322,0.7441860465116279,0.6274509803921569,0.9795918367346939,0.9513513513513514,0.9652650822669104,0.7609823590453131,0.8477686989314897,0.8020346233667723
3,11012,1736,3,3709,301,182,8.115394985171205,0.6428571428571429,0.38870431893687707,0.4844720496894411,0.9478310178622058,0.9809272300469484,0.9640951694304253,0.7953440803596743,0.6848157744919128,0.73595317504903
4,9001,1720,2,3346,164,169,4.901374775851764,0.5621301775147929,0.5792682926829268,0.5705705705705706,0.9782813975448537,0.9767441860465116,0.977512187450857,0.7702057875298233,0.7780062393647191,0.7740863626992561
5,1090,1626,2,3484,192,183,5.510907003444316,0.4972677595628415,0.4739583333333333,0.4853333333333333,0.9694032111481369,0.9720534629404617,0.9707265281359017,0.7333354853554892,0.7230058981368975,0.7281340587241163
6,1430,1686,4,2042,179,99,8.765915768854065,0.7676767676767676,0.4245810055865922,0.5467625899280576,0.9469891919711786,0.9876543209876543,0.9668943772990015,0.857332979823973,0.7061176632871232,0.774412627657569
7,2665,1746,3_ESTA,231,21,9,9.090909090909092,1.0,0.42857142857142855,0.6,0.9459459459459459,1.0,0.9722222222222222,0.972972972972973,0.7142857142857143,0.8237986270022885
8,1439,1686,3_ESTA,380,49,22,12.894736842105264,0.9090909090909091,0.40816326530612246,0.5633802816901408,0.9189944134078212,0.9939577039274925,0.9550072568940493,0.9140426612493651,0.7010604846168075,0.7935086903843019
9,1595,1697,3,2649,178,144,6.719516798791997,0.6597222222222222,0.5337078651685393,0.5900621118012421,0.9668662674650699,0.9801699716713881,0.9734726688102894,0.813294244843646,0.7569389184199637,0.7841052914328007
10,2693,1747,3,419,26,14,6.205250596658711,0.7857142857142857,0.4230769230769231,0.55,0.9629629629629629,0.9923664122137404,0.9774436090225563,0.8743386243386243,0.7077216676453317,0.7822563936898704
11,3476,1777,2,2161,138,124,6.385932438685793,0.6290322580645161,0.5652173913043478,0.5954198473282443,0.9705449189985272,0.9772614928324271,0.9738916256157636,0.7997885885315217,0.7712394420683875,0.7852546138927555
12,8596,1707,4,1482,159,123,10.728744939271255,0.7886178861788617,0.610062893081761,0.6879432624113474,0.9543782192788816,0.9803476946334089,0.9671886651752423,0.8714980527288716,0.7952052938575849,0.8316055362052716
13,1348,1679,3_ESTA,272,32,23,11.76470588235294,0.6086956521739131,0.4375,0.5090909090909091,0.927710843373494,0.9625,0.9447852760736196,0.7682032477737035,0.7,0.7325174825174825
14,4071,1713,4,475,58,17,12.210526315789473,0.9411764705882353,0.27586206896551724,0.4266666666666667,0.9082969432314411,0.9976019184652278,0.950857142857143,0.9247367069098382,0.6367319937153726,0.7541738708137162
