,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,124,7.307386814932486,0.6129032258064516,0.41304347826086957,0.49350649350649356,0.9548872180451128,0.9794344473007712,0.967005076142132,0.7838952219257822,0.6962389627808204,0.7374715101936974
1,1066,1618,4,639,56,33,8.763693270735525,0.8787878787878788,0.5178571428571429,0.651685393258427,0.9554455445544554,0.9931389365351629,0.9739276703111859,0.9171167116711672,0.7554980396961529,0.828499063844483
2,7673,1716,3_ESTA,598,43,57,7.190635451505016,0.543859649122807,0.7209302325581395,0.6200000000000001,0.977818853974122,0.9531531531531532,0.9653284671532847,0.7608392515484645,0.8370416928556463,0.7971234369337176
3,11012,1736,3,3709,301,193,8.115394985171205,0.5854922279792746,0.3754152823920266,0.4574898785425101,0.9465301478953356,0.9765258215962441,0.9612940496822646,0.766011187937305,0.6759705519941354,0.7181796984035076
4,9001,1720,2,3346,164,163,4.901374775851764,0.5521472392638037,0.5487804878048781,0.5504587155963303,0.976751492302859,0.9770584538026399,0.976904948939513,0.7644493657833313,0.762919470803759,0.7636836520808948
5,1090,1626,2,3484,192,181,5.510907003444316,0.4972375690607735,0.46875,0.4825737265415549,0.9691189827429609,0.9723572296476306,0.9707354056103108,0.7331782759018672,0.7205536148238153,0.7268111271159718
6,1430,1686,4,2042,179,100,8.765915768854065,0.74,0.4134078212290503,0.5304659498207885,0.9459320288362513,0.9860440150295223,0.9655716162943495,0.8429660144181257,0.6997259181292863,0.7646959913979848
7,2665,1746,3_ESTA,231,21,7,9.090909090909092,1.0,0.3333333333333333,0.5,0.9375,1.0,0.967741935483871,0.96875,0.6666666666666666,0.7898089171974522
8,1439,1686,3_ESTA,380,49,29,12.894736842105264,0.8620689655172413,0.5102040816326531,0.641025641025641,0.9316239316239316,0.9879154078549849,0.9589442815249267,0.8968464485705865,0.749059744743819,0.8163181772685105
9,1595,1697,3,2649,178,129,6.719516798791997,0.6666666666666666,0.48314606741573035,0.5602605863192183,0.9634920634920635,0.9825981384055038,0.972951312362252,0.8150793650793651,0.7328721029106171,0.7717928380537972
10,2693,1747,3,419,26,14,6.205250596658711,0.7857142857142857,0.4230769230769231,0.55,0.9629629629629629,0.9923664122137404,0.9774436090225563,0.8743386243386243,0.7077216676453317,0.7822563936898704
11,3476,1777,2,2161,138,107,6.385932438685793,0.6728971962616822,0.5217391304347826,0.5877551020408163,0.9678675754625121,0.9826989619377162,0.9752268825116507,0.8203823858620971,0.7522190461862495,0.7848234692211759
12,8596,1707,4,1482,159,127,10.728744939271255,0.7874015748031497,0.6289308176100629,0.6993006993006993,0.9564575645756458,0.9795918367346939,0.9678864824495893,0.8719295696893977,0.8042613271723784,0.8367295565584544
13,1348,1679,3_ESTA,272,32,20,11.76470588235294,0.75,0.46875,0.5769230769230769,0.9325396825396826,0.9791666666666666,0.9552845528455284,0.8412698412698413,0.7239583333333333,0.7782179263719432
14,4071,1713,4,475,58,22,12.210526315789473,0.9090909090909091,0.3448275862068966,0.5000000000000001,0.9161147902869757,0.9952038369304557,0.9540229885057472,0.9126028496889425,0.6700157115686761,0.772717144462209
