,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,120,7.307386814932486,0.6666666666666666,0.43478260869565216,0.5263157894736841,0.9566305254378649,0.9828620394173093,0.9695688926458157,0.8116485960522657,0.7088223240564807,0.7567584970711564
1,1066,1618,4,639,56,35,8.763693270735525,0.8571428571428571,0.5357142857142857,0.6593406593406593,0.956953642384106,0.9914236706689536,0.9738837405223251,0.9070482497634815,0.7635689781916197,0.8291473278892973
2,7673,1716,3_ESTA,598,43,60,7.190635451505016,0.5166666666666667,0.7209302325581395,0.6019417475728156,0.9776951672862454,0.9477477477477477,0.9624885635864593,0.747180916976456,0.8343389901529437,0.7883582987750278
3,11012,1736,3,3709,301,169,8.115394985171205,0.6863905325443787,0.3853820598006645,0.49361702127659574,0.9477401129943502,0.9844483568075117,0.9657455382843985,0.8170653227693645,0.6849152083040881,0.745176723885589
4,9001,1720,2,3346,164,181,4.901374775851764,0.5138121546961326,0.5670731707317073,0.5391304347826087,0.9775671406003159,0.9723444374607165,0.9749487947061602,0.7456896476482242,0.7697088040962119,0.7575088733362865
5,1090,1626,2,3484,192,158,5.510907003444316,0.5,0.4114583333333333,0.45142857142857146,0.966025255562237,0.9760024301336574,0.9709882139619221,0.7330126277811184,0.6937303817334953,0.7128307294234677
6,1430,1686,4,2042,179,99,8.765915768854065,0.7272727272727273,0.4022346368715084,0.5179856115107915,0.9449305198147195,0.9855072463768116,0.9647924330005255,0.8361016235437234,0.69387094162416,0.7583751944703832
7,2665,1746,3_ESTA,231,21,9,9.090909090909092,0.7777777777777778,0.3333333333333333,0.4666666666666666,0.9369369369369369,0.9904761904761905,0.962962962962963,0.8573573573573574,0.6619047619047619,0.7470586020594492
8,1439,1686,3_ESTA,380,49,22,12.894736842105264,0.7727272727272727,0.3469387755102041,0.47887323943661975,0.9106145251396648,0.9848942598187311,0.946298984034833,0.8416708989334687,0.6659165176644676,0.7435489947270827
9,1595,1697,3,2649,178,120,6.719516798791997,0.7333333333333333,0.4943820224719101,0.5906040268456376,0.9644128113879004,0.9870497774180493,0.9756,0.8488730723606168,0.7407158999449797,0.7911149267985399
10,2693,1747,3,419,26,13,6.205250596658711,0.8461538461538461,0.4230769230769231,0.5641025641025641,0.9630541871921182,0.9949109414758269,0.9787234042553191,0.9046040166729822,0.708993932276375,0.7949424568264745
11,3476,1777,2,2161,138,134,6.385932438685793,0.5746268656716418,0.5579710144927537,0.5661764705882353,0.9699062654168722,0.9718240237271379,0.9708641975308641,0.772266565544257,0.7648975191099459,0.7685643790060892
12,8596,1707,4,1482,159,131,10.728744939271255,0.7557251908396947,0.6226415094339622,0.6827586206896551,0.9555884529977794,0.9758125472411187,0.9655946148092746,0.855656821918737,0.7992270283375404,0.8264798269110575
13,1348,1679,3_ESTA,272,32,16,11.76470588235294,0.8125,0.40625,0.5416666666666666,0.92578125,0.9875,0.9556451612903226,0.869140625,0.696875,0.7735329882763782
14,4071,1713,4,475,58,21,12.210526315789473,0.6666666666666666,0.2413793103448276,0.35443037974683544,0.9030837004405287,0.9832134292565947,0.9414466130884042,0.7848751835535976,0.6122963698007111,0.687927297807881
