,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,122,7.307386814932486,0.639344262295082,0.42391304347826086,0.5098039215686275,0.9557595993322203,0.9811482433590403,0.9682875264270614,0.7975519308136512,0.7025306434186506,0.7470317711023995
1,1066,1618,4,639,56,24,8.763693270735525,0.9166666666666666,0.39285714285714285,0.55,0.9447154471544715,0.9965694682675815,0.9699499165275459,0.9306910569105691,0.6947133055623622,0.7955724440409055
2,7673,1716,3_ESTA,598,43,60,7.190635451505016,0.5166666666666667,0.7209302325581395,0.6019417475728156,0.9776951672862454,0.9477477477477477,0.9624885635864593,0.747180916976456,0.8343389901529437,0.7883582987750278
3,11012,1736,3,3709,301,167,8.115394985171205,0.6526946107784432,0.36212624584717606,0.4658119658119658,0.9457933370976849,0.982981220657277,0.9640287769784172,0.799243973938064,0.6725537332522266,0.7304461962745695
4,9001,1720,2,3346,164,194,4.901374775851764,0.5103092783505154,0.6036585365853658,0.553072625698324,0.9793781725888325,0.9701445631678189,0.9747395011051468,0.744843725469674,0.7869015498765923,0.7652952372977858
5,1090,1626,2,3484,192,188,5.510907003444316,0.5106382978723404,0.5,0.5052631578947369,0.970873786407767,0.9720534629404617,0.9714632665452336,0.7407560421400536,0.7360267314702309,0.7383838141343977
6,1430,1686,4,2042,179,82,8.765915768854065,0.8048780487804879,0.3687150837988827,0.5057471264367817,0.9423469387755102,0.991411701556629,0.9662568663353387,0.873612493777999,0.6800633926777558,0.7647822581061341
7,2665,1746,3_ESTA,231,21,10,9.090909090909092,1.0,0.47619047619047616,0.6451612903225806,0.9502262443438914,1.0,0.974477958236659,0.9751131221719457,0.7380952380952381,0.840208778769966
8,1439,1686,3_ESTA,380,49,27,12.894736842105264,0.8888888888888888,0.4897959183673469,0.631578947368421,0.9291784702549575,0.9909365558912386,0.9590643274853802,0.9090336795719232,0.7403662371292927,0.8160760018886011
9,1595,1697,3,2649,178,123,6.719516798791997,0.6585365853658537,0.4550561797752809,0.5382059800664453,0.9615993665874901,0.9830028328611898,0.9721833099859917,0.8100679759766719,0.7190295063182354,0.7618386448149062
10,2693,1747,3,419,26,11,6.205250596658711,0.9090909090909091,0.38461538461538464,0.5405405405405405,0.9607843137254902,0.9974554707379135,0.9787765293383272,0.9349376114081996,0.691035427676649,0.7946933886604691
11,3476,1777,2,2161,138,146,6.385932438685793,0.5684931506849316,0.6014492753623188,0.5845070422535212,0.9727047146401985,0.9688581314878892,0.9707776126795442,0.7705989326625651,0.785153703425104,0.7778082348064881
12,8596,1707,4,1482,159,125,10.728744939271255,0.768,0.6037735849056604,0.676056338028169,0.9535740604274134,0.9780801209372638,0.9656716417910448,0.8607870302137067,0.7909268529214621,0.8243795536188798
13,1348,1679,3_ESTA,272,32,21,11.76470588235294,0.6666666666666666,0.4375,0.5283018867924528,0.9282868525896414,0.9708333333333333,0.9490835030549898,0.797476759628154,0.7041666666666666,0.7479226316157964
14,4071,1713,4,475,58,17,12.210526315789473,0.8235294117647058,0.2413793103448276,0.37333333333333335,0.9039301310043668,0.9928057553956835,0.9462857142857143,0.8637297713845363,0.6170925328702556,0.7198719127982848
