,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,117,7.307386814932486,0.6581196581196581,0.41847826086956524,0.5116279069767442,0.9554352353186173,0.9828620394173093,0.9689545934530095,0.8067774467191378,0.7006701501434373,0.7499894203971733
1,1066,1618,4,639,56,29,8.763693270735525,0.8620689655172413,0.44642857142857145,0.5882352941176471,0.9491803278688524,0.9931389365351629,0.9706621961441743,0.9056246466930469,0.7197837539818672,0.802080151209451
2,7673,1716,3_ESTA,598,43,54,7.190635451505016,0.48148148148148145,0.6046511627906976,0.5360824742268042,0.96875,0.9495495495495495,0.9590536851683348,0.7251157407407407,0.7771003561701235,0.7502085772518888
3,11012,1736,3,3709,301,166,8.115394985171205,0.5963855421686747,0.3289036544850498,0.423982869379015,0.9429861699125035,0.9803403755868545,0.9613005322975111,0.769685856040589,0.6546220150359522,0.7075061737110705
4,9001,1720,2,3346,164,180,4.901374775851764,0.5166666666666667,0.5670731707317073,0.5406976744186046,0.9775742261528743,0.9726587052168447,0.9751102709514808,0.7471204464097705,0.769865937974276,0.758322670758266
5,1090,1626,2,3484,192,173,5.510907003444316,0.5317919075144508,0.4791666666666667,0.5041095890410958,0.9697976442162489,0.9753948967193196,0.9725882174769045,0.7507947758653499,0.7272807816929932,0.7388507423590406
6,1430,1686,4,2042,179,99,8.765915768854065,0.7575757575757576,0.41899441340782123,0.539568345323741,0.9464745239320638,0.9871175523349437,0.9663688912243826,0.8520251407539107,0.7030559828713825,0.7704053038305759
7,2665,1746,3_ESTA,231,21,9,9.090909090909092,0.8888888888888888,0.38095238095238093,0.5333333333333333,0.9414414414414415,0.9952380952380953,0.9675925925925928,0.9151651651651651,0.6880952380952381,0.7855502336865389
8,1439,1686,3_ESTA,380,49,28,12.894736842105264,0.8214285714285714,0.46938775510204084,0.5974025974025974,0.9261363636363636,0.9848942598187311,0.9546120058565154,0.8737824675324675,0.727141007460386,0.7937457019869318
9,1595,1697,3,2649,178,127,6.719516798791997,0.7322834645669292,0.5224719101123596,0.6098360655737706,0.9662965900079302,0.9862403885066775,0.9761666332866012,0.8492900272874297,0.7543561493095186,0.7990131039891392
10,2693,1747,3,419,26,17,6.205250596658711,0.7647058823529411,0.5,0.6046511627906976,0.9676616915422885,0.989821882951654,0.9786163522012579,0.8661837869476148,0.744910941475827,0.8009830444391598
11,3476,1777,2,2161,138,134,6.385932438685793,0.5970149253731343,0.5797101449275363,0.5882352941176471,0.9713862851504687,0.9733069698467622,0.9723456790123457,0.7842006052618015,0.7765085573871493,0.7803356259668975
12,8596,1707,4,1482,159,125,10.728744939271255,0.776,0.610062893081761,0.6830985915492959,0.9543109801031687,0.9788359788359788,0.9664179104477612,0.8651554900515843,0.7944494359588699,0.8282962774043624
13,1348,1679,3_ESTA,272,32,17,11.76470588235294,0.7058823529411765,0.375,0.48979591836734687,0.9215686274509803,0.9791666666666666,0.9494949494949494,0.8137254901960784,0.6770833333333333,0.7391423482668859
14,4071,1713,4,475,58,20,12.210526315789473,0.8,0.27586206896551724,0.4102564102564103,0.9076923076923077,0.9904076738609112,0.9472477064220183,0.8538461538461539,0.6331348714132142,0.7271105221100688
