,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,115,7.307386814932486,0.6260869565217392,0.391304347826087,0.4816053511705686,0.953391593841032,0.9815766923736076,0.9672788684821617,0.7897392751813856,0.6864405200998472,0.7344756248956886
1,1066,1618,4,639,56,33,8.763693270735525,0.8787878787878788,0.5178571428571429,0.651685393258427,0.9554455445544554,0.9931389365351629,0.9739276703111859,0.9171167116711672,0.7554980396961529,0.828499063844483
2,7673,1716,3_ESTA,598,43,54,7.190635451505016,0.5555555555555556,0.6976744186046512,0.6185567010309277,0.9761029411764706,0.9567567567567568,0.9663330300272975,0.7658292483660131,0.8272155876807039,0.7953396883947907
3,11012,1736,3,3709,301,151,8.115394985171205,0.6556291390728477,0.3289036544850498,0.4380530973451327,0.9432265317594154,0.9847417840375586,0.9635371805914441,0.7994278354161315,0.6568227192613042,0.7211428871558566
4,9001,1720,2,3346,164,177,4.901374775851764,0.5141242937853108,0.5548780487804879,0.533724340175953,0.9769643420637425,0.972972972972973,0.9749645725082664,0.7455443179245267,0.7639255108767304,0.7546229982006822
5,1090,1626,2,3484,192,156,5.510907003444316,0.5192307692307693,0.421875,0.46551724137931033,0.9666466346153846,0.977217496962333,0.9719033232628398,0.7429387019230769,0.6995462484811665,0.7205898150079267
6,1430,1686,4,2042,179,104,8.765915768854065,0.7403846153846154,0.4301675977653631,0.5441696113074205,0.9473684210526315,0.9855072463768116,0.9660615627466456,0.8438765182186234,0.7078374220710874,0.7698936816803644
7,2665,1746,3_ESTA,231,21,9,9.090909090909092,0.8888888888888888,0.38095238095238093,0.5333333333333333,0.9414414414414415,0.9952380952380953,0.9675925925925928,0.9151651651651651,0.6880952380952381,0.7855502336865389
8,1439,1686,3_ESTA,380,49,32,12.894736842105264,0.75,0.4897959183673469,0.5925925925925924,0.9281609195402298,0.9758308157099698,0.9513991163475699,0.8390804597701149,0.7328133670386583,0.7823548466868392
9,1595,1697,3,2649,178,120,6.719516798791997,0.6416666666666667,0.43258426966292135,0.5167785234899329,0.9600632661130882,0.9825981384055038,0.9712,0.8008649663898775,0.7075912040342126,0.7513443439026986
10,2693,1747,3,419,26,16,6.205250596658711,0.75,0.46153846153846156,0.5714285714285714,0.9652605459057072,0.989821882951654,0.9773869346733669,0.8576302729528535,0.7256801722450578,0.7861569865677326
11,3476,1777,2,2161,138,124,6.385932438685793,0.5483870967741935,0.4927536231884058,0.5190839694656489,0.9656357388316151,0.972318339100346,0.9689655172413792,0.7570114178029044,0.7325359811443759,0.7445726159095827
12,8596,1707,4,1482,159,137,10.728744939271255,0.7445255474452555,0.6415094339622641,0.6891891891891891,0.9576208178438662,0.9735449735449735,0.9655172413793103,0.8510731826445608,0.8075272037536187,0.8287285508996182
13,1348,1679,3_ESTA,272,32,14,11.76470588235294,0.9285714285714286,0.40625,0.5652173913043478,0.9263565891472868,0.9958333333333333,0.9598393574297188,0.9274640088593578,0.7010416666666667,0.7985123101693751
14,4071,1713,4,475,58,20,12.210526315789473,0.8,0.27586206896551724,0.4102564102564103,0.9076923076923077,0.9904076738609112,0.9472477064220183,0.8538461538461539,0.6331348714132142,0.7271105221100688
